Name,Price (Intraday),Change,Market Cap,Volume in Currency,Circulating Supply
Universe.XYZ USD,0.000117,-0.000007,0,"4,736",0
Pi Network DeFi USD,0.00002,0,0,6,0
MetaXCosmos USD,0.00000082,0,0,1,0
Red Rabbit USD,0.000052,-0.000015,0,"6,643",0
Parrot Protocol USD,0.003577,-0.000159,0,"12,380",0
Voltz USD,0.003245,-0.000042,0,8,0
TruthGPT (BSC) USD,0.000061,0,0,98,0
QuipuSwap Governance Token USD,0.209512,0.008713,0,N/A,0
Soulsaver USD,0.083419,-0.00534,0,"10,447",0
Pollen Coin USD,0.040999,-0.00001,0,"1,779",0
KaraStar UMY USD,0.000598,-0.000002,0,23,0
ordinex USD,0.00000105,-0.00000007,0,"10,572",0
Modular Wallet USD,0.119584,0.00666,0,"12,928",0
HAY USD,1.0001,-0.0003,0,"269,211",0
Brise Paradise USD,0.000186,0.000057,0,"16,357",0
VetMe USD,0.00061,-0.000023,0,"1,561",0
A Fund Baby USD,0.002666,0.000448,0,"31,232",0
Glory Finance USD,0.084826,-0.02709,0,"93,435",0
CAD Coin USD,0.320909,-0.000076,0,"11,914",0
MusicAI USD,0.000071,0,0,34,0
Beauty Bakery Linked Operation Transaction Technology USD,0.009448,-0.000498,0,527,0
Medieval Empires USD,0.004372,-0.000075,0,"274,894",0
TeraBlock USD,0.00365,-0.00004,0,134,0
Poope USD,0.00000004,0,0,39,0
Baby CateCoin USD,0,0,0,40,0
Monster Adventure Token USD,0.008895,0,0,20,0
Lybra Finance USD,1.9837,-0.1323,0,2.799M,0
ShibKiller USD,0,0,0,50,0
BH Network USD,0.009503,-0.000169,0,"80,713",0
Profile Utility Token USD,0.000119,-0.000001,0,3,0
DOLZ USD,0.01264,0.00021,0,"4,681",0
Lifinity USD,0.216815,-0.001041,0,"1,224",0
Aidi Finance (new) USD,0.00054,0.000014,0,179,0
Nuketoken USD,0,0,0,1,0
Kitsumon USD,0.000028,0,0,75,0
Aerochain V2 USD,0.005401,-0.000035,0,496,0
THORWallet DEX USD,0.009028,-0.000561,0,"65,565",0
Bit.Store USD,0.010562,0.00026,0,1.373M,0
Gami Studio USD,0.002697,0,0,20,0
Australian Safe Shepherd USD,0,0,0,"8,210",0
Trad USD,0.00000079,0.00000007,0,"3,165",0
Honey Badger USD,0.000062,-0.000001,0,184,0
Clay Nation USD,0.008015,-0.000177,0,"3,546",0
PayPal tokenized stock FTX USD,53.06,-6.61,0,"2,042",0
2G CARBON COIN USD,0.072198,0.013804,0,4,0
TraderDAO USD,0.002574,-0.000077,0,285,0
Timeleap Finance USD,0.168848,0.002763,0,47,0
Wolfy Inu USD,0,0,0,"160,393",0
Tanks For Playing USD,0.000236,-0.00003,0,"2,257",0
BetSwirl USD,0.00073,0.000123,0,"34,892",0
Defi Connect (new) USD,0.000446,-0.000039,0,332,0
Cydotori USD,0.000596,-0.000158,0,426,0
Class Coin USD,0.002767,-0.00001,0,28,0
Agoric USD,0.120795,0.000191,0,"157,854",0
Compound Augur USD,0.04734,0.000923,0,2,0
PaintSwap USD,0.009451,0.000287,0,"13,306",0
Ino Coin USD,0.01,-0.000001,0,0,0
Warrior Token USD,0.00028,0,0,16,0
Bafi Finance USD,0.311693,-0.000975,0,10,0
Defira USD,0.027382,-0.000168,0,618,0
Smol Su USD,0.279132,-0.006338,0,"12,509",0
XDAG USD,0.012103,-0.000038,0,"85,059",0
RazrFi USD,0.016249,0.001093,0,"47,598",0
Pinknode USD,0.001918,0,0,191,0
Ankr Staked BNB USD,258.22,-1.36,0,"353,057",0
BSCDium Token USD,0.000137,-0.00001,0,855,0
Spherium USD,0.015409,0.000138,0,"6,787",0
MASHIDA USD,0.007978,-0.000058,0,"94,001",0
DarkMatter USD,0.006739,-0.00017,0,131,0
Artificial Intelligence Technology Network USD,0.001841,0,0,15,0
Verve USD,0.00034,-0.000002,0,24,0
Hero PEPE USD,0,0,0,4,0
Love USD,0,0,0,"1,844",0
PUGGY USD,0,0,0,17,0
Vela Exchange USD,1.5185,-0.0451,0,"679,698",0
Wise Token USD,0.143777,0.000762,0,"8,384",0
MAXX Finance USD,0.00000324,0,0,11,0
ALLPAYCOIN USD,0.006998,-0.000004,0,"20,890",0
Harmonylauncher USD,0.000109,0,0,"1,111",0
SUPA Foundation USD,0.000886,-0.000011,0,3,0
USDy USD,1.0091,-0.0061,0,87,0
DataDoge USD,0.000854,-0.000009,0,288,0
Green Climate World USD,0.032999,-0.000003,0,1,0
Derify Protocol USD,0.055467,-0.000499,0,294,0
WSB Coin USD,0.00000299,-0.00000058,0,"2,635",0
GoldMiner USD,0.00000269,-0.00000001,0,"7,081",0
ToxicDeer Share USD,1.1739,0,0,28,0
SDAO USD,0.007444,-0.00006,0,9,0
WORLD ID USD,0.00000164,-0.00000016,0,3.027M,0
Damex Token USD,0.161374,0.000064,0,"14,635",0
Sector Finance USD,0.043186,-0.000812,0,"1,545",0
Old Bitcoin USD,0.004519,0.00015,0,"3,143",0
A4 Finance USD,0.005496,-0.000167,0,"11,154",0
xPTP USD,0.02142,0.000065,0,"1,417",0
Medifakt USD,0.011101,-0.000057,0,"66,662",0
Bunny King Metaverse USD,0,0,0,0,0
PepeTheGrove USD,0.0000084,-0.00000027,0,167,0
MetaRare USD,0.096733,-0.00257,0,"70,674",0
Mindfolk Wood USD,0.000607,0.00024,0,46,0
Unicap.finance USD,0.00639,-0.000001,0,0,0
Honey Finance USD,0.001275,-0.000226,0,0,0
Edain USD,0.007719,-0.000001,0,"158,938",0
Altered State Token USD,0.027496,-0.000032,0,"307,552",0
UniBot USD,50.37,2.83,0,3.327M,0
Alien Invasion USD,0.00000001,0,0,32,0
Indigo Protocol - iUSD USD,1.0224,-0.0048,0,"8,525",0
YFIONE USD,2.8636,0.0003,0,56,0
Bullpepe USD,0,0,0,"1,141",0
Xrp Classic (old) USD,0.00002,0,0,41,0
Vege Token USD,0.207804,-0.002292,0,722,0
Reign of Terror USD,0.002983,-0.000098,0,"95,328",0
Cockapoo USD,0.00000045,0,0,202,0
Pepe Girl USD,0,0,0,"3,136",0
Marshall Inu USD,0.000474,-0.000022,0,"21,987",0
Edge USD,0.09357,0,0,"1,934",0
Krypton DAO USD,1.4835,0.0224,0,"4,573",0
Revenant USD,0.466901,-0.002047,0,"1,095",0
Shipit pro USD,0.000983,-0.000007,0,32,0
wanETH USD,"1,881.12",2.71,0,"3,686",0
XAI Corp USD,0.001407,0.00104,0,6.383M,0
YAM V1 USD,0.097292,-0.000821,0,"3,586",0
Marvelous NFTs (Bad Days) USD,0.002888,-0.000017,0,4,0
Koyo USD,0.003612,-0.000548,0,"234,280",0
TOKAMAK USD,0.000068,0,0,0,0
BetaCarbon USD,0.02377,0.001383,0,"3,329",0
ELON CGI USD,0,0,0,6,0
Mewtwo Inu USD,0,0,0,8,0
Magpie USD,0.009583,0.000076,0,"10,244",0
Wizardia USD,0.002379,0.000012,0,"100,104",0
DeathRoad USD,0.000935,0,0,77,0
Atlas Navi USD,0.026394,-0.001198,0,"17,552",0
Xrp Classic (new) USD,0.000742,-0.00003,0,"63,060",0
GoldeFy USD,0.000461,-0.000027,0,0,0
FoxFinanceV2 USD,0.000432,-0.000001,0,58,0
Nurcoin USD,192.1,0.34,0,707,0
Treat DAO [new] USD,0.002869,-0.001148,0,"1,882",0
CoinField Coin USD,0.248223,0.000439,0,175,0
IceCream USD,1.3844,-0.0032,0,"4,302",0
Disabled Pepe USD,0,0,0,"6,854",0
Krogan USD,0.000951,-0.000003,0,296,0
Text2VidAI USD,0.001026,-0.00015,0,"1,612",0
Prime Numbers Labs Ecosystem USD,0.802049,0.023315,0,"428,214",0
Z Versus Project USD,0.00000407,0,0,64,0
Panda Coin USD,0,0,0,7,0
The Everlasting Parachain USD,0.020083,-0.000065,0,88,0
ToxicGarden.finance SEED USD,0.116718,-0.000778,0,"7,009",0
MicroChains Gov Token USD,0.007969,-0.000111,0,"142,170",0
Enigma Gaming USD,0.000626,-0.000101,0,"8,866",0
Zenlink USD,0.01244,0.001013,0,"10,384",0
Jax.Network USD,0.253144,-0.001062,0,0,0
RankerDAO USD,0.002951,0.000392,0,"370,128",0
GemSwap USD,0.002194,-0.000011,0,7,0
Spider Spirit USD,0,0,0,110,0
MELI USD,0.000861,-0.000002,0,"5,304",0
Decanect USD,0.018081,-0.000356,0,256,0
Navigator DAO USD,0.00000647,0,0,0,0
ForceCowBoy USD,0.00000032,0,0,12,0
Bolide USD,0.01722,-0.000165,0,"68,450",0
ZillaMatrix USD,0,0,0,93,0
Pepe City USD,0,0,0,10,0
The Parallel USD,0.001571,0,0,2,0
Level Finance USD,"135,850.53",-631.25,0,"15,503",0
FUD Galore USD,0.000027,0,0,4,0
Pepe Musk USD,0,0,0,16,0
Hive Dollar USD,0.988671,0.041976,0,"30,536",0
Walk To Earn USD,0,0,0,1,0
Maneki USD,0.006612,-0.00015,0,"2,586",0
Shibnobi(New) USD,0.000033,0.000002,0,"588,314",0
Good Bridging USD,0.005049,0,0,37,0
CubeBase USD,0.000069,0,0,8,0
Smart Wallet Token USD,0.00000656,0.0000001,0,4,0
VKENAF USD,0.005338,-0.000023,0,637,0
Kilopi USD,0.000538,-0.000014,0,"1,957",0
MUU USD,0.00000011,0,0,489,0
BONGOCAT USD,0.003814,-0.000054,0,66,0
WEALTH USD,0.00000538,0,0,26,0
Pantos USD,0.076975,0.000291,0,40,0
Moon Rabbit USD,0.00000217,-0.00000002,0,"41,648",0
Fuck Stupid Egotistical Cocksuckers USD,0.00000025,0,0,160,0
ChikinCoin USD,0.000045,0,0,43,0
LUSD Chicken Bonds USD,1.16,-0.0011,0,"113,440",0
Arbitrove Protocol USD,0.019875,-0.000165,0,"122,601",0
CryptoCart V2 USD,0.543982,-0.003756,0,251,0
NDB USD,0.0022,-0.00004,0,0,0
France Fan Token USD,0.000388,0,0,70,0
Fantom Maker USD,0.004847,0.000073,0,"11,802",0
Wrapped KardiaChain USD,0.004669,0.000087,0,91,0
BigTycoon USD,0.000102,-0.000004,0,"5,303",0
Collective Finance USD,61.08,0.16,0,263,0
Dogira USD,0.000495,0.00001,0,183,0
Dotlab USD,0.063542,-0.000593,0,182,0
SpectreSecurityCoin USD,0.000183,-0.000002,0,8,0
WiseAvax USD,0.124696,0.003988,0,"223,991",0
ShibLa USD,0,0,0,278,0
MCOBIT USD,0.0003,0,0,1,0
Jinbi Token USD,"5,060.88",-30.93,0,"97,065",0
BLOCKMAX USD,0.0143,-0.000001,0,0,0
MortyPad USD,0,0,0,83,0
Shack Token USD,0.000111,0.00001,0,261,0
Shiba Floki Inu USD,0,0,0,512,0
BeerusCat USD,0,0,0,16,0
MapMetrics USD,0.001803,-0.000068,0,158,0
Safegem USD,0,0,0,0,0
Liquid CRO USD,0.059696,0.000038,0,"14,249",0
Mr Burns USD,0,0,0,"2,336",0
Crypto Classic USD,0.0008,0,0,41,0
UnityCore Protocol USD,0.009115,-0.000442,0,466,0
LIQ Protocol USD,0.001523,0.000021,0,"7,219",0
Monetas USD,0.099997,-0.00001,0,91,0
Pusleohm USD,0.35399,0.220436,0,"8,408",0
BitBook USD,0.000485,-0.000003,0,"129,272",0
stake.link USD,0.149232,0.006682,0,158,0
Manga Token USD,0.000013,0,0,336,0
Joystick USD,0.002276,-0.000142,0,"17,398",0
Fair BERC20 USD,0.013095,-0.001867,0,1.497M,0
Elan USD,2.7585,-0.1151,0,"133,142",0
UpOnly USD,0.025721,-0.001377,0,"237,008",0
CRYN USD,10.35,-0.17,0,"189,684",0
One Share USD,1.3526,-0.0012,0,"10,443",0
Snark Launch USD,0.004246,0.000059,0,623,0
The Reaper USD,0.033499,-0.000003,0,0,0
HyperCycle USD,0.495418,0.002537,0,"123,611",0
Fistbump USD,0.007161,-0.000077,0,"104,840",0
Michael Jordan Coin USD,0,0,0,613,0
Ultron Vault USD,0.031734,-0.000226,0,15,0
CRYPTOFRUITS USD,0.000402,0.000003,0,0,0
SONGOKU USD,0,0,0,495,0
ReduX USD,0.579079,0.016912,0,"38,981",0
DEFY USD,0.003772,0.000281,0,"11,494",0
CryptoMoonShot USD,0.000032,0.000002,0,"2,443",0
Joseon Mun USD,0.009999,-0.000002,0,"79,350",0
Pepona USD,0,0,0,28,0
FreeRossDAO USD,0.000055,-0.000002,0,"62,957",0
Dragon War USD,0.000163,-0.000015,0,694,0
Terra Classic USD (Wormhole) USD,0.012365,0.000309,0,"811,182",0
Daruma USD,0.000027,0,0,101,0
SINSO USD,0.475571,-0.048467,0,"64,390",0
TIPO Token USD,0.035977,-0.000165,0,108,0
Smart Marketing Token USD,0.100197,-0.00531,0,520,0
WidiLand USD,0.000071,-0.000001,0,32,0
Towelie USD,0,0,0,18,0
Fuck Pepe USD,0,0,0,"9,099",0
BlockSAFU USD,0.000054,0,0,20,0
Maximus Coin USD,0.018012,-0.000003,0,"4,544",0
Dogeclub USD,0,0,0,"9,980",0
1337 LEET USD,0,0,0,36,0
Setter Protocol USD,0.000835,0,0,3,0
Gooeys USD,0.000014,0,0,69,0
Dragon Mainland Shards USD,0.000049,0.000003,0,"9,473",0
Fat Cat Killer USD,0.00000004,0,0,"3,328",0
India Coin USD,0.00000003,0,0,0,0
T-800 USD,0.00000341,0,0,N/A,0
CAW CEO USD,0,0,0,"51,937",0
DOGGO USD,0,0,0,"133,288",0
StaFi Staked BNB USD,280.12,12.67,0,277,0
Copiosa Coin USD,0.011184,0.00011,0,"4,845",0
Gem Pad USD,0.003342,-0.000032,0,62,0
XELS USD,0.187404,0.007774,0,"137,039",0
DFX Finance USD,0.053037,-0.004161,0,861,0
Mechanium USD,0.102971,-0.000398,0,156,0
PulseAI USD,0.00000768,-0.00000012,0,"93,655",0
Five Star Coin USD,0.003361,-0.00003,0,7,0
Pando USD USD,0.986799,-0.001482,0,N/A,0
Elon Musk USD,0.00000218,0,0,113,0
LuckyPig USD,0.00000008,0,0,8,0
Flokimooni USD,0.00000003,0,0,545,0
Red Floki USD,0,0,0,40,0
FLOKI CEO USD,0,0,0,"197,517",0
NMKR USD,0.001905,-0.000023,0,"8,941",0
PayNet Coin USD,0.136695,0.000087,0,"223,059",0
Wonka Capital USD,0.00000002,0,0,666,0
Shinjarium USD,0,0,0,21,0
Genesis Wink USD,0.000831,0,0,"8,243",0
governance ZIL USD,3.9196,0.0313,0,898,0
Fuse Dollar USD,0.999966,0.03131,0,340,0
GrabCoinClub USD,0.000891,-0.000058,0,"7,531",0
Gale Network USD,0.00000205,0,0,2,0
Aquarius USD,0.000474,-0.000005,0,"174,497",0
BabyAMA USD,0,0,0,"51,190",0
VeraOne USD,63.39,0.91,0,"25,226",0
PEPEPi USD,0,0,0,264,0
ExchangeCoin USD,0.004684,-0.000025,0,"46,196",0
microNFT USD,0.147239,-0.017265,0,"78,060",0
Falcon 9 USD,0.00248,-0.000103,0,"10,063",0
ITEMVERSE USD,0.000364,0.000004,0,"49,155",0
Musk Dao USD,0.000426,-0.000048,0,"327,812",0
Smart Link Solution USD,0.409926,0.013771,0,"18,399",0
Ded USD,0.00000015,0,0,80,0
MR BOB COIN USD,0.00000466,-0.00000012,0,633,0
Moneta DAO USD,0.054236,0.000324,0,"3,790",0
Songbird USD,0.006112,-0.000097,0,"269,272",0
NADA Protocol Token USD,0.000899,-0.000025,0,"15,363",0
Mcashchain USD,0.059952,-0.000482,0,9,0
Pulse Heart USD,0.00000139,0,0,11,0
SelfBar USD,0.418108,0.000002,0,19,0
Jetswap.finance USD,0.001616,-0.000011,0,2,0
StepEx USD,0.001,0.000346,0,"104,919",0
Dino USD,0.0002,0,0,2,0
CitiOs USD,0.000092,-0.000001,0,3,0
HEPE USD,0,0,0,658,0
MetaBrands USD,0.010719,-0.000136,0,37,0
Treasure Under Sea USD,0.000023,0,0,"3,712",0
OpenIndex.ai USD,0.008159,0,0,369,0
CaptainAmerica USD,0.00000004,0,0,330,0
UNCL USD,3.4219,0,0,"4,698",0
Warrior Token USD,0.00028,0,0,16,0
Bafi Finance USD,0.311693,-0.000975,0,10,0
Defira USD,0.027386,-0.000169,0,614,0
Smol Su USD,0.279224,-0.006497,0,"12,509",0
XDAG USD,0.012103,-0.000038,0,"85,059",0
RazrFi USD,0.016251,0.001042,0,"47,702",0
Pinknode USD,0.001918,0,0,191,0
Ankr Staked BNB USD,258.26,-1.48,0,"353,019",0
BSCDium Token USD,0.000137,-0.00001,0,855,0
Spherium USD,0.015409,0.000138,0,"6,787",0
MASHIDA USD,0.007979,-0.00006,0,"94,008",0
DarkMatter USD,0.006739,-0.00017,0,131,0
Artificial Intelligence Technology Network USD,0.001841,0,0,15,0
Verve USD,0.00034,-0.000002,0,24,0
Hero PEPE USD,0,0,0,4,0
Love USD,0,0,0,"1,844",0
PUGGY USD,0,0,0,17,0
Vela Exchange USD,1.5201,-0.0417,0,"680,864",0
Wise Token USD,0.143898,0.000756,0,"8,384",0
MAXX Finance USD,0.00000324,0,0,11,0
ALLPAYCOIN USD,0.006998,-0.000004,0,"20,890",0
Harmonylauncher USD,0.000109,0,0,"1,111",0
SUPA Foundation USD,0.000886,-0.000011,0,3,0
USDy USD,1.0071,-0.0082,0,116,0
DataDoge USD,0.000854,-0.000009,0,288,0
Green Climate World USD,0.033005,-0.000005,0,2,0
Derify Protocol USD,0.055238,-0.000743,0,296,0
WSB Coin USD,0.00000299,-0.00000058,0,"2,635",0
GoldMiner USD,0.00000269,-0.00000001,0,"7,081",0
ToxicDeer Share USD,1.1739,0,0,28,0
SDAO USD,0.007444,-0.000061,0,9,0
WORLD ID USD,0.00000165,-0.00000015,0,3.032M,0
Damex Token USD,0.161352,0.000004,0,"14,717",0
Sector Finance USD,0.043186,-0.000812,0,"1,545",0
Old Bitcoin USD,0.004521,0.00015,0,"3,258",0
A4 Finance USD,0.005496,-0.000167,0,"11,154",0
xPTP USD,0.02142,0.000065,0,"1,417",0
Medifakt USD,0.011137,-0.000033,0,"66,670",0
Pepe Linda USD,0,0,0,203,0
GamingShiba USD,0,0,0,72,0
Tether Tulips USD,0,0,0,9,0
CASHTHAI USD,0,0,0,3,0
Booby Trap USD,0.000065,0,0,"24,425",0
Wally Bot USD,0.208508,0.003797,0,"1,519",0
AssangeDAO USD,0.000028,0,0,"46,699",0
BigShortBets USD,1.1332,-0.0101,0,9,0
Egg N Partners USD,0.635278,0.000658,0,"3,222",0
Milo Inu USD,0.00000001,0,0,"51,411",0
Starchi USD,0.000222,-0.000004,0,"101,900",0
Wrapped Harmony USD,0.014993,-0.001667,0,"103,242",0
Hadeswap USD,0.195679,-0.003182,0,"17,862",0
bloXmove Token USD,0.11017,0.004376,0,"48,105",0
Metavault Trade USD,1.4848,0.0406,0,"48,661",0
Shido USD,0.000158,-0.000012,0,"174,828",0
Yawww USD,0.000053,-0.000001,0,6,0
LooksCoin USD,0.000104,-0.000009,0,0,0
UNITED EMIRATE DECENTRALIZED COIN. USD,0.000198,0.000095,0,8,0
Neptune Mutual USD,0.058643,-0.01837,0,"2,994",0
DKEY BANK USD,0.240033,-0.000038,0,270,0
Cia Protocol USD,0.00000189,0,0,472,0
BattleMechs USD,0.012649,-0.000084,0,0,0
Joe Hat Token USD,297.35,-2.29,0,0,0
STIPS USD,0.001828,-0.000009,0,251,0
Ruby Currency USD,10.01,0,0,"280,778",0
Legends USD,0.00000324,-0.00000007,0,"7,845",0
MYCE USD,0.000856,-0.000038,0,1,0
GeroWallet USD,0.004642,-0.000038,0,"6,053",0
Angle USD,0.032467,0.000252,0,"51,661",0
Widi Soul USD,0.000081,-0.000001,0,41,0
TED BNB USD,0.00000021,0,0,"2,247",0
SatoshiStreetBets USD,0.00000001,0,0,"2,658",0
X7R USD,0.027808,-0.0008,0,"8,876",0
Moremoney USD USD,1.0012,0.002,0,"4,998",0
CroSwap USD,0.00214,-0.000005,0,N/A,0
Fashion Coin USD,0.00000003,0,0,5,0
Marswap USD,0.00000142,0.00000036,0,"11,479",0
MaziMatic USD,0.004004,0.000002,0,"151,792",0
StarSharks SEA USD,0.002366,-0.000012,0,106,0
Apecode USD,0,0,0,0,0
ROND USD,0.002618,-0.000058,0,"270,326",0
DogeZilla USD,0,0,0,"2,694",0
Parallel USD,1.1087,0.0128,0,"150,947",0
Rising Sun USD,0,0,0,0,0
Surge Inu USD,0,0,0,2,0
Zero Liquid USD,0.466457,0.001457,0,"34,395",0
Coinracer Reloaded USD,0.000553,0.000021,0,435,0
Croissant Games USD,0.000369,0.000006,0,5,0
Winnerz USD,0.033345,0.000075,0,"146,493",0
Cat USD,0,0,0,"9,746",0
Pikachueth USD,0,0,0,121,0
CRAZY TIGER USD,0,0,0,456,0
CORE ID USD,0.004087,-0.000085,0,"2,102",0
JackpotDoge USD,0.0002,0,0,89,0
Harmonyville USD,0.0004,-0.000004,0,0,0
Pepe Rew USD,0.00000006,0,0,2,0
BlueSale Finance USD,0.076347,0.001473,0,"785,783",0
MOBLAND USD,0.000778,-0.000005,0,"10,754",0
Perry USD,0,0,0,"3,556",0
WardenSwap USD,0.00984,-0.000045,0,190,0
EarnBet USD,0.005996,0,0,33,0
ViCA Token USD,0.062212,-0.008674,0,"338,094",0
Hayya Qatar USD,0,0,0,2,0
OGIAI WALLET USD,0.00000117,0,0,24,0
Pepe Coin USD,0,0,0,"1,825",0
OragonX USD,0,0,0,33,0
Wrapped Staked HEC USD,17.72,-2.01,0,"8,896",0
HIPPO USD,0,0,0,215,0
PEPE RUNNER USD,0,0,0,915,0
KTX.Finance USD,0.802587,0.026828,0,"19,248",0
Space Crypto USD,0.000266,0,0,4,0
Hehe USD,0,0,0,99,0
Karus Starter USD,0.001892,-0.000024,0,"13,791",0
Lumenswap USD,0.00444,0,0,11,0
SaverToken USD,0.000049,0,0,635,0
Wrapped Evmos USD,0.089223,-0.000022,0,80,0
SaharaDAO USD,0.0003,-0.000002,0,9,0
PEPEBRC USD,0.037254,-0.003037,0,"277,909",0
STICKY COIN USD,0.00000025,0,0,0,0
Cyberpunk City USD,0.080915,-0.000621,0,"2,887",0
ZilSwap USD,1.2132,-0.0108,0,603,0
4REALZA COIN USD,0.00000147,-0.00000003,0,111,0
PathDAO USD,0.005573,-0.000059,0,"7,120",0
Clinq.Gold Token USD,61.31,-0.31,0,"94,199",0
Cindrum USD,0.000834,-0.000015,0,"55,084",0
Ulti Arena USD,0.00000013,0.00000002,0,60,0
CUBE USD,0.02665,-0.056955,0,"8,772",0
Tuzlaspor Token USD,0.126931,0.020623,0,"5,946",0
AstridDAO Token USD,0.001738,0.00004,0,556,0
Oggy Grow USD,0,0,0,2,0
Elon Tusk USD,0,0,0,47,0
AlgoBlocks USD,0.002504,0.000006,0,"25,128",0
GrimaceCoin USD,0.29716,-0.021739,0,"8,908",0
01coin USD,0.000336,-0.000003,0,2,0
Vera USD,0.001505,-0.000073,0,"178,041",0
ZoidPay USD,0.037224,0.000132,0,3.569M,0
Triathon USD,0.001043,0.000017,0,"1,956",0
WoofWork.io USD,0.000344,-0.000003,0,"542,541",0
UGOLD Inc. USD,"1,775.24",-4.29,0,"10,708",0
Adana Demirspor Token USD,0.765028,0.019345,0,"7,000",0
Mean DAO USD,0.023563,0.000139,0,"140,058",0
United Traders Token USD,0.012925,-0.000054,0,0,0
Flappymoonbird USD,0.022032,0.000365,0,"14,710",0
Green Universe Coin USD,0.0131,-0.000561,0,"43,264",0
opZEKND Superchain USD,0.001165,-0.000415,0,"6,028",0
Lend Flare USD,0.000249,0,0,373,0
Pepe Optimus USD,0.00000045,-0.00000001,0,0,0
Magic Elpis Gem USD,0.000634,-0.000001,0,22,0
Green Block Token USD,0.01309,-0.000964,0,"5,096",0
Layer Network USD,0.000012,0,0,2,0
Jaiho Crypto USD,0.001001,0,0,172,0
Nelore Coin USD,0.002385,-0.000119,0,"1,541",0
EVE Token USD,0.004604,-0.001812,0,"50,082",0
Swinca USD,0.000031,0.000003,0,6,0
uwu USD,0.0000007,-0.00000001,0,199,0
TABANK USD,0.010001,-0.000002,0,2,0
Moon Bay USD,0.088374,0.00037,0,"1,847",0
Fautor USD,0.014412,0.001488,0,"75,844",0
Sakai Vault USD,2.0695,-0.3674,0,1.911M,0
Revest Finance USD,0.028304,-0.000456,0,"27,494",0
RoboWars BSC USD,0.000086,0,0,9,0
Lumi Credits USD,0.009542,0.000177,0,389,0
UMI USD,0.002919,-0.001052,0,12,0
Modden USD,0.001833,0.000292,0,1,0
Vulture Peak USD,0.022046,0.000079,0,"3,176",0
GOAL token USD,0.019103,-0.002404,0,"3,864",0
XDoge Network USD,0.00000146,0,0,"1,017",0
BlockRock USD,0.000504,-0.000005,0,131,0
IOEX USD,0.005693,-0.000003,0,57,0
Universe.XYZ USD,0.000117,-0.000007,0,"4,736",0
Pi Network DeFi USD,0.00002,0,0,6,0
Red Rabbit USD,0.000052,-0.000015,0,"6,643",0
Parrot Protocol USD,0.003576,-0.000164,0,"12,398",0
Voltz USD,0.003245,-0.000042,0,8,0
TruthGPT (BSC) USD,0.000061,0,0,98,0
Soulsaver USD,0.083419,-0.00534,0,"10,447",0
Pollen Coin USD,0.040999,-0.00001,0,"1,779",0
KaraStar UMY USD,0.000598,-0.000002,0,23,0
ordinex USD,0.00000106,-0.00000007,0,"10,572",0
Modular Wallet USD,0.119598,0.00662,0,"12,928",0
HAY USD,1.0001,-0.0003,0,"269,211",0
Brise Paradise USD,0.000186,0.000057,0,"16,398",0
VetMe USD,0.00061,-0.000023,0,"1,561",0
A Fund Baby USD,0.002666,0.000448,0,"31,232",0
CAD Coin USD,0.320909,-0.000076,0,"11,914",0
MusicAI USD,0.000071,0,0,34,0
Beauty Bakery Linked Operation Transaction Technology USD,0.009448,-0.000498,0,527,0
Medieval Empires USD,0.004372,-0.000075,0,"274,894",0
TeraBlock USD,0.00365,-0.00004,0,134,0
Poope USD,0.00000004,0,0,39,0
Baby CateCoin USD,0,0,0,40,0
Monster Adventure Token USD,0.008895,0,0,20,0
Lybra Finance USD,1.9837,-0.1323,0,2.799M,0
BH Network USD,0.009503,-0.000169,0,"80,713",0
Level Finance USD,3.2111,-0.0509,0,"902,619",0
LadyWojak USD,0,0,0,32,0
InuTube USD,0.000014,-0.000004,0,283,0
USDy USD,1.0071,-0.0082,0,116,0
Green Climate World USD,0.033005,-0.000005,0,2,0
Old Bitcoin USD,0.004521,0.00015,0,"3,258",0
SDAO USD,0.007444,-0.000061,0,9,0
Wolf.Ai USD,0.00000014,0.00000003,0,"3,376",0
Black Box USD,0.013676,-0.000557,0,"1,067",0
Enegra (EGX) USD,197.91,-1.91,0,1.576M,0
Cool Cats MILK USD,0.000158,-0.000004,0,773,0
BUILD USD,0.000059,-0.000092,0,"4,161",0
SokuSwap USD,0.001758,0.000245,0,"7,702",0
OHO USD,0.002973,-0.000024,0,1.261M,0
Poof.cash USD,0.000194,-0.000007,0,21,0
WASSIE USD,0.00000048,-0.00000006,0,"24,900",0
Solar USD,0.004939,0.000036,0,"47,753",0
MetaX USD,0.578125,-0.111246,0,"86,832",0
Neoxa USD,0.0009,-0.00001,0,"121,224",0
Reptoid USD,0,0,0,101,0
Aura Network USD,0.048668,0.000104,0,"188,088",0
Zoro CEO USD,0,0,0,2,0
WaultSwap Polygon USD,0.00000168,0.00000003,0,102,0
All In USD,1.0864,-0.0102,0,"91,132",0
Symmetric USD,0.342819,-0.006092,0,1,0
Baby Saitama Inu USD,0,0,0,46,0
Steve USD,0,0,0,24,0
CRB Coin USD,0.000016,0,0,16,0
SmartNFT USD,0.000036,0,0,6,0
Himo World USD,0.001442,0,0,94,0
Alaska Gold Rush USD,0.004603,-0.000031,0,"43,497",0
TechTrees USD,0.000332,-0.000002,0,0,0
Stride USD,1.0108,0.0008,0,"78,105",0
Euro Shiba Inu USD,0,0,0,"49,753",0
Propland USD,0.030886,0,0,29,0
